#{"t_start": 1638973446.065685, "env_id": null}
r,l,t
-47.169495,1000,7.47201
-46.153584,1000,11.19179
-46.3599,1000,18.952432
-54.06315,1000,22.668157
-58.903816,1000,30.039567
-60.43133,1000,33.792818
-21.933092,1000,41.058579
-31.147707,1000,44.914185
-64.60137,1000,52.361528
-33.5349,1000,56.26008
-42.424156,1000,63.716418
-31.271626,1000,67.523694
-1.1860291,1000,74.831175
-11.646844,1000,78.601121
-68.30941,1000,85.961704
-68.253555,1000,89.81883
-53.57109,1000,97.180249
-18.367348,1000,100.990821
-25.170229,1000,108.384056
-49.82064,1000,112.185451
-29.82483,1000,119.509786
-29.577742,1000,123.607348
-36.96293,1000,131.362774
-17.603266,1000,135.232819
-28.571684,1000,142.704347
89.30167,1000,146.404778
-71.51851,1000,153.822178
8.8442,1000,157.67978
6.007456,1000,165.135061
60.656155,1000,169.028976
-7.6924024,1000,176.490625
90.47668,1000,180.343884
89.28654,1000,187.749502
72.88218,1000,191.635112
108.054665,1000,199.004485
85.18573,1000,202.924142
3.704227,1000,210.190911
44.296387,1000,214.05836
169.48045,1000,221.463397
203.27914,1000,225.340587
213.47784,1000,232.708066
107.71403,1000,236.60533
129.10017,1000,240.492906
280.38995,1000,247.760481
200.36569,1000,251.547059
209.99843,1000,258.954691
128.39359,1000,262.842673
216.4536,1000,270.263193
131.24875,1000,274.150783
98.69696,1000,281.5605
256.36197,1000,285.384181
227.91963,1000,292.877203
344.4421,1000,296.762094
442.3045,1000,304.14917
277.84726,1000,308.074414
-31.74041,1000,315.469427
398.08124,1000,319.262682
542.6227,1000,326.728967
358.19012,1000,330.613023
458.9188,1000,337.982868
109.78733,1000,341.7898
268.25128,1000,349.169342
338.59225,1000,353.106727
311.21072,1000,360.528444
418.5141,1000,364.367455
302.51163,1000,371.774917
353.01657,1000,375.639955
287.29745,1000,383.022439
494.5924,1000,386.901103
382.3123,1000,394.290884
677.4336,1000,398.197413
215.02615,1000,405.681122
576.257,1000,409.534469
127.54084,1000,417.018672
382.85336,1000,421.016842
341.2777,1000,428.424277
311.76062,1000,432.3366
679.72235,1000,439.772882
62.962868,1000,443.561784
390.30063,1000,451.134525
637.2589,1000,454.932686
528.0957,1000,462.304437
498.78183,1000,466.393992
885.1894,1000,473.82394
719.72705,1000,477.698224
516.7637,1000,481.663565
294.55356,1000,489.033907
564.47986,1000,492.940254
626.2793,1000,500.363441
551.5131,1000,504.324446
607.7509,1000,511.700101
554.7288,1000,515.626712
183.82642,1000,523.043399
649.2018,1000,526.963212
